enterprise_number,activity_number,nace_code,classification_code
0404779317,1,41102,MAIN
0404779317,2,71121,MAIN
0404779317,3,41203,SECO
0404779317,4,52241,SECO
0404837814,1,41101,MAIN
0404837814,2,82990,MAIN
0404837814,3,64200,SECO
0404837814,4,68201,SECO
0404941643,1,41101,MAIN
0404982621,1,42120,MAIN
0404982621,2,42110,MAIN
0404982621,3,46900,SECO
0405011226,1,41201,MAIN
0405013602,1,41203,MAIN
0405013602,2,41201,MAIN
0405033101,1,42919,MAIN
0405033101,2,42919,MAIN
0405034881,1,41203,MAIN
0405034881,2,41101,MAIN
0405034881,3,41201,SECO
0405062991,1,43221,MAIN
0405062991,2,47592,SECO
0405070119,1,41203,MAIN
0405070119,2,41201,MAIN
0405073285,1,41201,MAIN
0405073285,2,41203,MAIN
0405079225,1,41203,MAIN
0405079225,2,41201,MAIN
0405092190,1,42110,MAIN
0405092190,2,42110,MAIN
0405096150,1,41203,MAIN
0405096150,2,43999,MAIN
0405103672,1,41101,MAIN
0405103672,2,68100,MAIN
0405103672,3,41101,SECO
0405103672,4,41102,SECO
0405122775,1,42220,MAIN
0405122775,2,42220,MAIN
0405150291,1,41101,MAIN
0405152073,1,41101,MAIN
0405152073,2,41102,SECO
0405152073,3,56290,SECO
0405152073,4,68100,SECO
0405152073,5,68201,SECO
0405152073,6,68203,SECO
0405176027,1,41201,MAIN
0405176027,2,43320,MAIN
0405176027,3,41201,SECO
0405181965,1,42110,MAIN
0405184836,1,43320,MAIN
0405190378,1,93110,MAIN
0405190378,2,41101,MAIN
0405190378,3,41201,SECO
0405190378,4,93292,SECO
0405197902,1,42110,MAIN
0405197902,2,42110,MAIN
0405226111,1,41101,MAIN
0405248182,1,43320,MAIN
0405248182,2,41201,MAIN
0405248182,3,68201,SECO
0405248182,4,68203,SECO
0405250459,1,43320,MAIN
0405255310,1,43999,MAIN
0405255310,2,49410,MAIN
0405262931,1,42110,MAIN
0405262931,2,43120,MAIN
0405262931,3,49410,SECO
0405262931,4,77320,SECO
0405265208,1,43211,MAIN
0405265208,2,43211,MAIN
0405265208,3,33150,SECO
0405265208,4,42220,SECO
0405265208,5,43341,SECO
0405273819,1,41101,MAIN
0405291734,1,42130,MAIN
0405291734,2,43999,MAIN
0405291734,3,42130,SECO
0405291734,4,42919,SECO
0405291734,5,43120,SECO
0405299355,1,41201,MAIN
0405299355,2,41201,MAIN
0405299355,3,41101,SECO
0405299355,4,41102,SECO
0405299355,5,41203,SECO
0405299355,6,42990,SECO
0405299355,7,43390,SECO
0405299355,8,43995,SECO
0405299355,9,68311,SECO
0405387150,1,42110,MAIN
0405387150,2,81300,MAIN
0405387150,3,42990,SECO
0405387150,4,43994,SECO
0405387150,5,43999,SECO
0405390912,1,41101,MAIN
0405390912,2,23310,SECO
0405403184,1,43320,MAIN
0405403184,2,41201,MAIN
0405403184,3,31091,SECO
0405403184,4,43320,SECO
0405418725,1,41201,MAIN
0405418725,2,82110,SECO
0405418725,3,70220,SECO
0405418725,4,70210,SECO
0405418725,5,70100,SECO
0405418725,6,68201,SECO
0405418725,7,68100,SECO
0405418725,8,64200,SECO
0405418725,9,41101,SECO
0405418725,10,82990,SECO
0405428326,1,43221,MAIN
0405428326,2,43211,MAIN
0405428326,3,43222,SECO
0405434165,1,28990,MAIN
0405434165,2,43320,MAIN
0405435056,1,42110,MAIN
0405435056,2,42110,MAIN
0405455644,1,42110,MAIN
0405455644,2,42110,MAIN
0405456337,1,41201,MAIN
0405456337,2,46731,SECO
0405461384,1,43222,MAIN
0405461384,2,47592,SECO
0405469304,1,42110,MAIN
0405469304,2,42110,MAIN
0405470490,1,41201,MAIN
0405470490,2,31020,SECO
0405470490,3,41101,SECO
0405470490,4,42130,SECO
0405470490,5,43331,SECO
0405470490,6,43390,SECO
0405474846,1,43996,MAIN
0405474846,2,41201,MAIN
0405512062,1,41201,MAIN
0405512062,2,41201,MAIN
0405512062,3,46731,SECO
0405523346,1,47529,MAIN
0405523346,2,43999,MAIN
0405523346,3,47529,SECO
0405524732,1,42110,MAIN
0405524732,2,23610,SECO
0405545815,1,41201,MAIN
0405551258,1,43999,MAIN
0405559572,1,41101,MAIN
0405559572,2,41101,MAIN
0405566896,1,43222,MAIN
0405566896,2,43222,MAIN
0405566896,3,43211,SECO
0405566896,4,43221,SECO
0405580655,1,41101,MAIN
0405580655,2,70100,MAIN
0405580655,3,68100,SECO
0405590256,1,41203,MAIN
0405590256,2,41201,MAIN
0405598174,1,41101,MAIN
0405598174,2,41201,SECO
0405619851,1,42990,MAIN
0405619851,2,42110,MAIN
0405628759,1,43320,MAIN
0405628759,2,25110,MAIN
0405628759,3,16230,SECO
0405628759,4,43320,SECO
0405628759,5,45111,SECO
0405645585,1,95290,MAIN
0405645585,2,43222,MAIN
0405645585,3,95290,SECO
0405652020,1,43999,MAIN
0405652020,2,43120,MAIN
0405654592,1,41203,MAIN
0405654592,2,41201,MAIN
0405654592,3,43999,SECO
0405694085,1,41101,MAIN
0405694085,2,68100,SECO
0405705864,1,41203,MAIN
0405705864,2,41201,MAIN
0405708636,1,41101,MAIN
0405708636,2,41102,SECO
0405708636,3,64200,SECO
0405708636,4,68100,SECO
0405708636,5,68204,SECO
0405767232,1,41101,MAIN
0405767232,2,41102,SECO
0405780593,1,43222,MAIN
0405780593,2,43222,MAIN
0405791778,1,42110,MAIN
0405791778,2,42110,MAIN
0405800983,1,41203,MAIN
0405800983,2,41203,MAIN
0405817217,1,42110,MAIN
0405817217,2,42110,MAIN
0405817217,3,41201,SECO
0405817217,4,42212,SECO
0405817217,5,42219,SECO
0405829588,1,41203,MAIN
0405829588,2,41201,MAIN
0405832657,1,43221,MAIN
0405832657,2,43221,MAIN
0405832657,3,47527,SECO
0405834142,1,42211,MAIN
0405834142,2,42220,MAIN
0405834142,3,42919,SECO
0405834142,4,43299,SECO
0405845822,1,46697,MAIN
0405845822,2,43222,MAIN
0405848691,1,43320,MAIN
0405848691,2,25120,MAIN
0405854631,1,42110,MAIN
0405854631,2,41201,MAIN
0405854631,3,08111,SECO
0405854631,4,41203,SECO
0405854631,5,42110,SECO
0405856512,1,43120,MAIN
0405869378,1,42110,MAIN
0405869378,2,23630,SECO
0405904418,1,41201,MAIN
0405904418,2,41101,SECO
0405904418,3,68100,SECO
0405925697,1,43222,MAIN
